,FP rate,FN rate,Accuracy,F1-score,MCC,Mean C,Median C,Sum metrics
64,0.1643101605934369,0.10907859078590786,0.8369241018032068,0.19625401089470934,0.27922007599349824,1.5290659666061401,1.4107826948165894,1.3123981886914142
65,0.13940811174949283,0.11924119241192412,0.8610425593120259,0.22075055187637968,0.30200966173301297,1.6348791122436523,1.4929392337799072,1.3838027729214186
66,0.09908165951713564,0.1402439024390244,0.8999984859725355,0.2775894126654271,0.3510065874120588,1.8772549629211426,1.6375892162322998,1.5285944860500216
67,0.07129914979945179,0.15514905149051492,0.9268270526427349,0.3403848778490514,0.4023944485785282,2.0965688228607178,1.7969863414764404,1.6696063790703146
68,0.051646973193130254,0.1578590785907859,0.9459795000681313,0.4106375949785266,0.46003849798046886,2.315882444381714,1.9563837051391602,1.8166555930271266
69,0.03019838012791724,0.18157181571815717,0.966418870838317,0.5213638325420803,0.5460359035112091,2.8311045169830322,2.2345757484436035,2.0338186068916064
70,0.017638951264460377,0.28387533875338755,0.9764114521037411,0.5757080610021786,0.5758632513950731,3.2888808250427246,2.543219804763794,2.127982764500993
71,0.010886903194833755,0.37601626016260165,0.9809535344971158,0.5941935483870967,0.5851638786679313,3.746657133102417,2.8518638610839844,2.1603109615521436
72,0.2445294472922119,0.08265582655826559,0.7590879498554104,0.14543501611170787,0.2268461633591146,1.2130192518234253,1.1623327732086182,1.131369129326233
73,0.23246558158982858,0.08536585365853659,0.7708216627049614,0.15137074620171553,0.23357678845779006,1.266274094581604,1.2029160261154175,1.155769197364467
74,0.2197358028897527,0.09349593495934959,0.7830852851670729,0.1573839910604011,0.23938384239010058,1.3195288181304932,1.2434991598129272,1.1798531186175745
75,0.18235175692626948,0.11788617886178862,0.819088858271889,0.17893217893217891,0.25956241618169074,1.4423350095748901,1.3138188123703003,1.2575834533857586
76,0.15873507503135986,0.11517615176151762,0.8422383382034551,0.20042971147943525,0.282477757546175,1.552918791770935,1.3922734260559082,1.3251458072290654
77,0.13652765087575303,0.12601626016260162,0.8637072476494724,0.2227594543256778,0.3027905406489281,1.6635026931762695,1.4707281589508057,1.3892572426240783
78,0.09911263221470273,0.16666666666666666,0.8993777347121077,0.27015154842960687,0.3395126477213853,1.9249752759933472,1.609299898147583,1.5090419308630998
79,0.0746132284391309,0.15582655826558264,0.9235718935941498,0.33050397877984083,0.3939220932710498,2.156219005584717,1.761624813079834,1.6479979656450405
80,0.05489910643767519,0.1578590785907859,0.942800042392769,0.3968710089399745,0.4487533491198422,2.387462854385376,1.913949728012085,1.7884244004525858
